,Bed,Bath,m²,Price,Address,Property_type,New_build,Page
172,6,4,247.0,395000,"Cloghbally Upper, Mullagh, Co. Cavan",Detached,no,8
173,4,2,130.0,325000,"43 Meadow Way, Castlecomer Road, Kilkenny, Co. Kilkenny",Semi-D,no,8
174,3,3,102.0,230000,"103 Woodfield, Galway Road, Tuam, Co. Galway",Semi-D,no,8
175,1,2,115.0,975000,"Residence 9, InterContinental Hotel, Ballsbridge, Dublin 4",Apartment,no,8
176,4,3,149.0,500000,"Barrack Lane, Kilkenny, Co. Kilkenny",Semi-D,no,8
177,4,3,110.0,430000,"3 Elm Grove, Lucan, Co. Dublin",Semi-D,no,8
178,2,3,69.0,195000,"6 Riordan's Lane, Drurys Avenue, Midleton, Co. Cork",End of Terrace,no,8
179,4,1,,438000,"2A Leinster Walk, Dublin Road, Kildare, Co. Kildare",Detached,no,8
180,3,1,104.0,255000,"Kilderry, Johnswell, Co. Kilkenny",Bungalow,no,9
181,1,1,48.0,215000,"Apartment 57, Block 5, Donabate, Co. Dublin",Apartment,no,9
182,2,2,66.0,265000,"1 Applewood Drive, Swords, Co. Dublin",Apartment,no,9
183,3,2,104.0,375000,"5 Orchard Close, Beaverstown Road, Donabate, Co. Dublin",Semi-D,no,9
184,4,2,139.0,425000,"12 Drisin, Ballymoneen Road, Knocknacarra, Co. Galway",Semi-D,no,9
185,3,2,82.0,335000,"26 Springfield Court, Wicklow Town, Co. Wicklow",End of Terrace,no,9
186,3,3,111.0,285000,"9 Ard Abhainn, Glanmire, Co. Cork",Townhouse,no,9
187,3,2,122.0,575000,"2 Inbhir Ide, Malahide, Co. Dublin",Terrace,no,9
188,4,3,148.0,290000,"15 Limetree Avenue, Termon Abbey, Drogheda, Co. Louth",Semi-D,no,9
189,4,4,114.0,295000,"10 The Close, Ard Patrick, Blackpool, Co. Cork",Semi-D,no,9
190,4,3,115.0,385000,"21 The Paddocks Grove, Adamstown, Lucan, Co. Dublin",Semi-D,no,9
191,2,2,105.0,370000,"43 Waterside Lawn, Swords Road, Malahide, Co. Dublin",Duplex,no,9
192,3,1,,295000,"84 Evergreen Street, Cork City, Co. Cork",End of Terrace,no,9
193,2,1,65.0,210000,"Farravaun, Glann Road, Oughterard, Co. Galway",Detached,no,9
194,3,2,93.0,305000,"19 Belmont Avenue, Rochestown, Co. Cork",Terrace,no,9
